Sector,Suprafata_mp,Numar_Camere,Etaj,An_Constructie,Distanta_Metrou_km,Bai,Balcon,Pret_Euro
4,61.2,3,8,2010,0.9,2,1,103000.0
5,30.0,3,10,1970,0.16,1,0,32500.0
3,84.3,4,2,2010,1.84,1,1,176800.0
5,79.4,3,4,1979,0.1,1,1,115400.0
5,55.9,1,7,2024,3.06,2,1,83800.0
2,68.0,3,5,1973,0.22,2,0,147400.0
3,37.2,3,3,2004,0.2,2,0,90800.0
3,100.0,4,7,1979,0.29,1,1,176200.0
3,57.8,4,10,2016,4.84,2,1,120800.0
5,147.4,3,2,1980,1.77,1,1,152300.0
4,65.6,2,2,1983,2.42,1,1,63800.0
3,51.0,4,3,2007,0.76,1,1,118500.0
6,59.7,5,8,1981,0.61,1,1,64800.0
5,34.7,5,4,2014,0.4,2,1,112200.0
2,82.1,1,7,1986,0.98,1,0,107200.0
4,59.5,3,5,1985,1.2,1,1,71300.0
6,98.3,2,2,2004,1.5,1,1,111400.0
6,63.1,1,7,1971,0.45,1,1,54400.0
2,104.6,3,8,1980,4.45,1,1,117200.0
4,88.9,4,7,2010,0.28,1,1,221700.0
5,70.7,5,3,1972,5.0,1,1,84200.0
1,109.5,2,10,1998,0.1,2,1,229000.0
4,93.8,5,5,1987,0.98,2,1,169800.0
2,143.7,4,0,1989,0.61,2,1,237600.0
6,59.8,3,3,2016,0.89,1,1,96500.0
5,71.9,4,7,1983,1.27,2,1,86900.0
4,109.2,4,0,2003,0.86,2,1,172800.0
1,31.4,5,2,2018,0.8,2,1,151100.0
1,102.9,2,0,2023,1.98,1,0,257300.0
3,81.0,4,8,2000,1.74,1,1,129700.0
3,47.8,5,1,2009,2.69,2,1,116300.0
2,35.9,2,8,2011,0.43,1,1,73000.0
4,53.2,3,3,1987,1.41,1,0,61500.0
4,30.0,3,1,1999,1.32,1,1,36600.0
6,57.8,1,3,1994,0.69,1,0,49900.0
6,85.6,5,10,1988,1.0,2,1,128200.0
6,58.1,2,10,1977,0.56,1,1,50800.0
3,104.7,4,9,1997,0.23,1,1,198400.0
4,111.5,3,5,1977,0.36,2,0,143700.0
4,101.9,2,10,2000,0.17,1,0,155500.0
1,75.8,5,6,1972,1.72,1,0,187200.0
3,30.0,1,2,1972,1.62,1,0,30600.0
5,52.4,3,2,2013,4.51,2,1,82900.0
3,66.4,2,9,1991,1.96,1,1,87400.0
5,47.7,2,7,1986,0.1,2,1,59400.0
1,66.5,2,4,2005,3.23,1,1,133200.0
2,110.3,5,3,1986,2.98,1,0,225300.0
4,30.0,5,6,1983,0.88,1,0,61300.0
1,115.3,5,6,2020,1.32,1,0,465900.0
4,92.1,4,8,1978,5.0,2,1,110100.0
6,76.7,2,8,1999,1.14,2,1,66800.0
2,52.2,3,4,1990,3.54,1,0,73600.0
2,48.2,5,7,1981,0.13,1,0,119300.0
1,30.0,5,9,2006,0.32,2,1,125300.0
2,112.9,2,0,2001,0.87,1,1,166800.0
5,108.4,5,8,1980,1.32,1,1,146000.0
2,34.8,4,7,1989,2.54,2,1,70900.0
4,56.2,4,5,2004,5.0,1,0,94500.0
4,80.8,5,2,2022,0.74,2,1,250000.0
4,62.5,2,2,2016,0.1,1,1,104600.0
4,30.0,2,7,2015,2.42,2,1,43600.0
5,53.6,2,4,1980,1.39,1,1,45500.0
3,118.8,1,9,2021,0.33,1,1,196300.0
6,55.3,5,10,1977,1.02,1,0,72100.0
1,65.9,2,6,1973,2.03,1,1,85100.0
4,41.4,4,4,1996,2.21,1,0,72500.0
2,84.7,3,7,2013,1.04,1,0,168500.0
4,72.9,3,9,2009,0.55,1,1,130000.0
2,51.4,2,9,2007,5.0,2,0,82200.0
6,37.4,3,3,2016,1.63,1,1,61100.0
6,105.1,3,1,1999,0.79,1,1,108700.0
6,30.0,1,2,2013,0.49,1,0,39000.0
2,82.6,4,7,2017,1.97,1,1,212700.0
4,30.0,4,10,2017,0.42,1,1,79600.0
6,87.7,1,6,1996,0.28,1,1,91300.0
5,94.3,1,1,1990,1.13,2,1,84700.0
2,97.4,3,5,2021,0.51,1,1,245700.0
2,66.0,5,8,1989,1.49,1,1,106000.0
4,109.6,3,3,1973,0.19,2,1,147300.0
2,127.7,1,8,1980,1.6,2,1,158200.0
2,62.0,4,1,1982,0.5,1,1,117600.0
6,58.7,3,1,1978,0.1,2,1,69300.0
4,73.7,5,8,1973,0.2,1,0,137500.0
6,58.1,3,6,1981,4.07,2,1,61100.0
6,54.4,2,6,1978,3.03,1,1,46400.0
4,56.6,3,0,1982,0.4,2,1,66100.0
1,112.9,1,10,2017,2.26,2,1,186100.0
6,89.3,4,5,1995,1.41,1,0,135100.0
5,58.0,4,6,2007,5.0,1,0,94800.0
5,30.0,1,10,2011,0.7,1,0,34700.0
2,31.4,2,5,1982,1.72,1,0,36800.0
5,82.6,1,5,2008,0.1,1,1,116800.0
2,30.0,3,1,1997,0.76,1,1,56700.0
1,77.3,1,5,1988,4.98,1,1,89600.0
4,43.4,1,3,1993,1.16,1,0,48900.0
4,72.3,2,8,1988,0.51,1,1,77500.0
4,71.6,3,0,2018,0.19,1,1,128400.0
5,73.0,5,7,1982,1.82,1,1,105500.0
1,60.1,5,4,1982,1.55,2,1,167800.0
5,59.3,4,0,1997,0.7,1,0,83200.0
5,52.0,1,3,2022,4.52,1,1,66200.0
1,82.1,4,0,1971,0.1,2,1,200300.0
1,90.1,2,5,1979,0.54,2,0,155800.0
1,39.5,5,1,1991,3.81,1,0,96000.0
1,68.7,1,4,1982,0.58,2,0,84600.0
4,74.9,2,6,1978,0.44,1,0,79300.0
